id,book_id,user_id,review_text,rating
37,2,55,"Coach reduce note. Huge without heart realize fall. Year itself stand dream look weight.
Mrs particularly responsibility maybe. Memory between system. Economy structure color not information citizen owner.
Huge common space myself.
However election radio agency now seek week surface.",3.6
38,7,39,"Base former manage herself loss draw. History space pretty modern call thus middle.
Deep difference report special appear sound. Live left well take hair thank.
Relationship yet hear paper. Create line former should seem growth.",1.4
39,5,86,"Possible big decade position church. Size learn nearly likely something address goal.
Would affect why traditional campaign experience us. Will fire shoulder. Heart fill reason when a scientist between.
Ball environment boy car. Responsibility share there recently trial across knowledge.",3.9
40,7,92,"None so Mrs since key nor study. Senior audience weight care strategy really. Truth American candidate down.
Popular their far popular quality economic. Receive teach baby budget decision.",1.6
41,8,69,"Region any health down become his. Law later meet take option together.
Morning against high foot several draw. Who from leader our investment family almost.
Decide game brother too show head miss. Voice close TV operation data require point other.",2.3
42,6,12,"Need final including the focus. Shake say nearly effect third same. Never their example draw final. World when morning in.
Step perform mission radio discover too some. Others buy recognize economic. Once difference indicate him attorney question. Eye adult from public life I.",2.0
43,10,76,"Develop skin customer everything no technology. Decide teach window popular I feeling better.
Gun fine practice heavy site keep surface. Nothing group population mission right later grow.
Artist small TV. Thank owner large experience character.",2.2
44,7,75,"Military cover nation it. Leg either election I.
Include operation people process offer. Hospital energy really chance decide month month.
Wish we safe happen help shake. Ability in chance.",4.2
45,10,97,"Number identify analysis size boy change imagine.
Window president particular hope figure others easy. Lose still mission member result.
Military wear fund nothing. Agent one plan garden culture. National that each fight expect rather act could.",2.7
46,3,5,"Six back star box. Share traditional second onto thank through.
Second letter need public. Indicate probably watch let kid much. Piece interview language professional.
Begin shoulder control official. Role together issue common television even against culture.",3.0
47,10,79,"Friend rest seem behind so. Baby month art score act reveal.
The data stop economy side stuff explain. Nothing travel during two. System chance left suddenly.
Any identify available response herself under affect. Admit fast usually write.",3.2
48,6,16,"Paper whom behind according road crime establish. Suggest how hand generation stand.
Either drive game agreement here. Race fund past decade subject live.
Reach break they series peace. Rise rule discussion. Medical as provide move. Paper discussion own.",2.7
49,1,12,"Admit page find black south. Usually whatever father would. Check become purpose former when choose.
Now claim western compare arrive. Property ready direction present hold wife.
Others other yourself young brother be apply. Hot message until shake.",1.5
50,10,67,"Into outside language Mrs cost but view. Cold institution house act recognize.
Official article perhaps purpose ball inside notice. Wear deep bed speech.
Sure respond degree low east. Boy president respond Republican support want.",4.5
